date,BlkCnt,CapMrktCurUSD,TxCnt,AdrActCnt,PriceUSD,Trends,FearGreed
2020-06-07,159.0,179331395772.25357,254724.0,690992.0,9747.58011104617,0.5579166666666666,0.54
2020-06-08,162.0,179741658882.79865,316297.0,986341.0,9769.34236148451,0.5641666666666666,0.53
2020-06-09,160.0,179936892008.73267,328115.0,910121.0,9779.42216566335,0.6688,0.52
2020-06-10,164.0,181952982732.76926,324907.0,909669.0,9888.44417469316,0.74375,0.54
2020-06-11,185.0,170721091857.55527,336672.0,1048342.0,9277.45116931619,0.8083333333333332,0.52
2020-06-12,163.0,174019304039.34656,309817.0,909615.0,9456.16153331385,0.7625,0.38
2020-06-13,158.0,174123830972.77356,283164.0,800767.0,9461.33379865576,0.675,0.38
2020-06-14,170.0,171955158128.0987,279097.0,698545.0,9342.955635301,0.66875,0.4
2020-06-15,138.0,173774840415.62903,292792.0,867844.0,9441.38321127995,0.75375,0.37
2020-06-16,150.0,175232451346.34097,343031.0,986219.0,9520.09194827586,0.7787999999999999,0.39
2020-06-17,138.0,173926399830.38492,330975.0,918592.0,9448.69356060783,0.7758333333333333,0.38
2020-06-18,123.0,172853049353.4523,283106.0,854866.0,9389.99076639392,0.7425,0.4
2020-06-19,143.0,170946908488.14093,345029.0,947402.0,9285.99158293396,0.7191666666666667,0.39
2020-06-20,137.0,172267506962.9833,281510.0,760742.0,9357.29246446522,0.6941666666666667,0.38
2020-06-21,146.0,170940831096.1998,256980.0,710176.0,9284.76937182934,0.6720833333333333,0.37
2020-06-22,143.0,178311094487.316,307776.0,850006.0,9684.62018474576,0.7520833333333333,0.38
2020-06-23,158.0,176978474354.71844,351192.0,1034537.0,9611.72599824664,0.8092,0.41
2020-06-24,139.0,171116880435.06366,311143.0,917620.0,9292.94354354179,0.8091666666666667,0.5
2020-06-25,141.0,170281277784.0368,315538.0,901033.0,9247.12143249561,0.8004166666666667,0.43
2020-06-26,164.0,168676013923.73868,328405.0,929963.0,9159.43777206312,0.7829166666666667,0.4
2020-06-27,138.0,165787526267.54556,272210.0,761896.0,9002.16561718293,0.7679166666666667,0.43
2020-06-28,150.0,167746363406.58917,265941.0,686270.0,9108.06567457627,0.7966666666666667,0.4
